Nr;Event;GPrecision;GRecall;Redundancy;Compactness;Overlap;GT cross entropy;FC cross entropy;Homogeneity;Completeness;V-Measure;VarInformation;Precision;Recall;F1;
0;;0.9921700223713646;0.9910614525139665;0.0;0.8107044646769889;0.0;0.9586275400592514;0.9586693402795599;0.9577245563342099;0.957679991172988;0.9577022732351567;0.9577022742299631;1.0;0.9906976744186047;0.995260663507109;
1;;0.9829738933030647;0.9654403567447045;0.0;0.8481755592070371;0.0;0.906610861945416;0.9124939282990303;0.9110788929483716;0.9045299542314892;0.9077926125111334;0.907814240649998;1.0;0.9658590308370044;0.9816784869976359;
2;;0.9691358024691358;0.8626373626373627;0.0;0.8699204044294835;0.0;0.8579695800788628;0.7748001082210785;0.7464111429950382;0.8537609193241207;0.7964851763673759;0.8024870313098321;0.8958930276981852;1.0;0.9383135257498584;
3;;0.9879385964912281;1.0;0.0;0.8630791989313755;0.0;0.9717425959116569;0.965544572748003;0.9644701710745556;0.9710465134445608;0.9677471699769029;0.9677688166186009;1.0;1.0;1.0;
4;;0.9889258028792912;0.9988814317673378;0.0;0.7984254842357923;0.0;0.971117696728896;0.9667601759078874;0.9659264646539086;0.9705249391388202;0.9682202419174702;0.9682308255866005;1.0;0.9989082969432315;0.99945295404814;
5;;0.9611178614823815;0.8887640449438202;0.0;0.8702572542323851;0.0;0.821591369868113;0.7192700388296644;0.6807753659874242;0.8182717936658763;0.7432178183625786;0.7533031928044214;0.8691148775894538;0.9909502262443439;0.9159420289855073;
6;;0.9685807150595883;1.0;0.0;0.8320244215575463;0.0;0.9387807225595188;0.9221365951613204;0.9190001656969786;0.9373986536540333;0.9281082373596282;0.9282783666107235;1.0;1.0;1.0;
7;;0.9732739420935412;0.9809203142536476;0.0;0.903955853408544;0.0;0.9137366346074842;0.9094605517372815;0.9073295244015884;0.9120910072924959;0.9097040353690067;0.9097154644008324;1.0;0.9804147465437788;0.9898081534772183;
8;;0.965675057208238;0.9493813273340832;0.0;0.8684753339665368;0.0;0.85489453450592;0.7295927056568762;0.6841266262671626;0.8521390198501441;0.7589455563678876;0.773861558454374;0.8398607484769366;0.985576923076923;0.8911449520586577;
9;;0.9390804597701149;0.9190101237345332;0.088;0.928061413989697;0.5;0.6920903738755702;0.5417789742068034;0.44230734116505244;0.6832037915694593;0.5369756792876621;0.5728497261461123;0.8153428377460964;0.9247469155330591;0.8376924330189235;
10;;0.9700115340253749;0.9334073251942286;0.0;0.8692740531585509;0.0;0.8448264620015598;0.7056257055307571;0.647986199084202;0.8409224733652523;0.731953768989729;0.7518663338540136;0.8617886178861789;0.9853917662682603;0.9087241553202219;
11;;0.95875;0.8437843784378438;0.0;0.8951669117389162;0.0;0.7568531964688396;0.5018464871408919;0.3043674767540484;0.7496229617868753;0.43294671574406085;0.5606428437631721;0.8061420345489444;0.6874003189792663;0.5690345284391293;
12;;0.9421487603305785;0.7616926503340757;0.012;0.9446486594902859;0.5;0.660106362921674;0.44115134561603564;0.26236681032054365;0.6519548249279187;0.37416003580172125;0.48175489438536134;0.5666794724036368;0.860576255725872;0.6809925558312655;
13;;0.9474313022700119;0.8840579710144928;0.0010;0.9031325726491594;0.5;0.7553770288386862;0.502000691298476;0.31285030799361524;0.7499019440927395;0.4415084582768049;0.5638919621269058;0.5338602260126019;0.9025152063126747;0.6688491703461764;
14;;0.9642058165548099;0.9642058165548099;0.0;0.7949313344386089;0.5;0.8822879330048213;0.7447775250511893;0.6966252707750654;0.8797369582612002;0.7775459034364391;0.7950983796506793;0.8528455284552846;1.0;0.9055816379760042;
15;;0.9571589627959414;0.9401993355481728;0.0;0.9149994502211234;0.0;0.8392607934079865;0.5455278245134505;0.3330228681901575;0.835160224298923;0.47617099593822854;0.6286110071834057;0.5279822691055998;0.9768518518518519;0.6850742036109272;
16;;0.9668874172185431;0.9679558011049724;0.0;0.8821039674857886;0.0;0.8745770331442886;0.5552808024437048;0.31845450941495046;0.8709390668664196;0.4663796388347867;0.6489980918818352;0.5468331916358496;0.9803921568627452;0.7020204407921882;
17;;0.9578833693304536;0.9932810750279956;0.0;0.9067828157411649;0.0;0.9104007702488109;0.5825048336020249;0.35891369991252287;0.9084906751993763;0.5145472999381835;0.6889673810252201;0.5355908074028879;0.9978813559322034;0.6970114546550685;
18;;0.9732334047109208;0.9956188389923329;0.0;0.905638027134594;0.0;0.9421268662040815;0.7174247068173558;0.5460208133541035;0.9316843581890409;0.6885257774613168;0.7683369204608775;0.7382592269689043;1.0;0.8348851705397666;
19;;0.9655543595263725;1.0;0.0;0.9038465707591614;0.0;0.930792939732204;0.7229025549571337;0.6039158072649554;0.9237373201155085;0.7303484794809552;0.7845125364424373;0.7568181818181818;1.0;0.8393393393393394;
20;;0.9613733905579399;1.0;0.0;0.8854004770787514;0.6666666666666666;0.9288364962603208;0.7301092980691879;0.6206733734623995;0.9218178234740382;0.7418490028983611;0.7896967998758718;0.7516930022573363;1.0;0.8348348348348349;
21;;0.9623059866962306;0.9886104783599089;0.03;0.8959704679266242;1.0;0.8094003264254699;0.6767395650158134;0.5943143184834028;0.7949406963496382;0.6801409865596701;0.7023362157975407;0.8341136578064371;0.7079510703363914;0.6326728272557347;
